(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   26 | 2026-03-07 15:14:10 |   c1 |   59.3 |   65.8 |   314.4 | 18358349 |   34.4 |    15.0
   26 | 2026-03-07 15:14:12 |   c2 |   70.2 |   38.1 |   120.8 |   521985 |   30.3 |    27.1
   26 | 2026-03-07 15:14:13 |   c3 |   79.8 |   49.8 |   164.5 |  1484911 |   24.6 |    33.3
   27 | 2026-03-07 15:14:15 |   c1 |   68.0 |   75.4 |   360.3 | 11061967 |   34.9 |    18.4
   27 | 2026-03-07 15:14:15 |   c2 |   73.0 |   39.0 |   123.6 |   795269 |   30.1 |    13.2
   27 | 2026-03-07 15:14:16 |   c3 |   57.4 |   50.6 |   167.1 |   822460 |   24.3 |    15.9
   28 | 2026-03-07 15:14:17 |   c1 |   45.3 |   70.2 |   335.2 | -9218669 |   35.4 |    16.3
   28 | 2026-03-07 15:14:18 |   c2 |   62.5 |   39.1 |   123.7 |    68797 |   29.8 |    14.1
   28 | 2026-03-07 15:14:18 |   c3 |   61.9 |   50.8 |   167.9 |   334670 |   24.1 |    18.5
   29 | 2026-03-07 15:14:20 |   c1 |   41.9 |   74.6 |   356.4 |  8599569 |   35.6 |    12.2
   29 | 2026-03-07 15:14:21 |   c2 |   60.7 |   39.1 |   124.0 |    79022 |   29.5 |    11.3
   29 | 2026-03-07 15:14:21 |   c3 |   78.9 |   50.9 |   168.2 |    87882 |   23.8 |    13.4
   30 | 2026-03-07 15:14:22 |   c1 |   27.3 |   81.1 |   387.5 | 11270768 |   36.4 |    32.6
   30 | 2026-03-07 15:14:23 |   c2 |   60.0 |   39.4 |   124.7 |   301400 |   29.2 |    16.2
   30 | 2026-03-07 15:14:24 |   c3 |   60.7 |   51.0 |   168.4 |    82879 |   23.5 |    16.1
   31 | 2026-03-07 15:14:25 |   c1 |   34.5 |    0.0 |       - | -145573336 |   38.0 |  1500.0
   31 | 2026-03-07 15:14:27 |   c2 |   39.8 |   39.5 |   125.1 |    82834 |   28.7 |    13.8
   31 | 2026-03-07 15:14:28 |   c3 |   46.1 |   51.1 |   168.7 |    77582 |   23.2 |    12.7
   32 | 2026-03-07 15:14:29 |   c1 |   26.2 |    0.0 |       - |        0 |    0.0 |     0.0
