
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
SSH bağlantıları kuruluyor...
  SSH bağlantısı kuruldu: 192.168.56.136
  SSH bağlantısı kuruldu: 192.168.56.137
  SSH bağlantısı kuruldu: 192.168.56.139
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   33 | 2026-03-01 22:12:52 |   c3 |    3.2 |   49.0 |   154.4 |  1081587 |    7.8 |    50.0
   34 | 2026-03-01 22:12:53 |   c1 |    2.1 |   42.9 |   112.6 |   225375 |    8.4 |    27.0
   34 | 2026-03-01 22:12:54 |   c2 |    2.1 |   32.7 |   107.9 |    35825 |    8.3 |    26.0
   34 | 2026-03-01 22:12:55 |   c3 |    3.1 |   49.1 |   154.7 |    80769 |    7.6 |     8.3
   35 | 2026-03-01 22:12:57 |   c1 |    1.1 |   43.2 |   113.6 |   240050 |    8.2 |    10.9
   35 | 2026-03-01 22:12:58 |   c2 |    3.1 |   32.8 |   108.2 |    72218 |    8.2 |    11.7
   35 | 2026-03-01 22:12:59 |   c3 |    1.1 |   49.1 |   154.7 |        0 |    7.5 |    17.1
   36 | 2026-03-01 22:13:01 |   c1 |    3.3 |   43.4 |   114.1 |   148069 |    8.0 |    18.5
   36 | 2026-03-01 22:13:02 |   c2 |    1.1 |   33.3 |   109.8 |   428754 |    8.0 |    13.2
   36 | 2026-03-01 22:13:03 |   c3 |    0.0 |   50.3 |   158.4 |   966705 |    7.4 |    30.7
   37 | 2026-03-01 22:13:05 |   c1 |    4.1 |   43.7 |   114.7 |   159413 |    7.9 |     9.8
   37 | 2026-03-01 22:13:06 |   c2 |    2.1 |   33.4 |   110.2 |   104686 |    7.8 |    22.2
   37 | 2026-03-01 22:13:07 |   c3 |    1.1 |   50.7 |   159.7 |   321658 |    7.2 |    45.1
   38 | 2026-03-01 22:13:08 |   c1 |    1.1 |   44.2 |   116.0 |   337436 |    7.8 |     7.4
   38 | 2026-03-01 22:13:09 |   c2 |    5.6 |   33.8 |   111.4 |   314934 |    7.7 |     8.8
   38 | 2026-03-01 22:13:10 |   c3 |    1.1 |   51.4 |   161.8 |   597406 |    7.1 |    23.2
   39 | 2026-03-01 22:13:12 |   c1 |    2.1 |   44.3 |   116.4 |   103225 |    7.6 |    13.1
   39 | 2026-03-01 22:13:13 |   c2 |    1.0 |   34.0 |   112.0 |   166635 |    7.6 |    53.0
   39 | 2026-03-01 22:13:14 |   c3 |    1.1 |   51.7 |   163.1 |   311714 |    7.0 |    20.2
   40 | 2026-03-01 22:13:16 |   c1 |    1.1 |   44.5 |   116.8 |   103352 |    7.5 |    28.4
   40 | 2026-03-01 22:13:17 |   c2 |    2.0 |   34.0 |   112.3 |    71771 |    7.5 |     9.4
   40 | 2026-03-01 22:13:18 |   c3 |    1.1 |   51.8 |   163.2 |    51380 |    6.9 |    33.6
   41 | 2026-03-01 22:13:20 |   c1 |    1.1 |   45.2 |   118.7 |   477655 |    7.5 |    12.6
   41 | 2026-03-01 22:13:21 |   c2 |    3.1 |   34.6 |   114.2 |   479973 |    7.4 |    24.3
   41 | 2026-03-01 22:13:22 |   c3 |    0.0 |   52.7 |   165.9 |   690187 |    6.8 |    18.0
   42 | 2026-03-01 22:13:24 |   c1 |    3.2 |   45.4 |   119.3 |   170707 |    7.4 |    30.4
   42 | 2026-03-01 22:13:25 |   c2 |    0.0 |   34.8 |   114.8 |   160764 |    7.3 |    15.3
   42 | 2026-03-01 22:13:26 |   c3 |    1.1 |   53.1 |   167.4 |   382648 |    6.8 |    22.8
   43 | 2026-03-01 22:13:27 |   c1 |    0.0 |   45.9 |   120.4 |   287063 |    7.3 |     7.9
   43 | 2026-03-01 22:13:28 |   c2 |    5.5 |   35.0 |   115.5 |   205326 |    7.2 |    19.7
   43 | 2026-03-01 22:13:29 |   c3 |    1.1 |   53.3 |   167.9 |   130419 |    6.7 |    21.3
   44 | 2026-03-01 22:13:31 |   c1 |    3.2 |   45.9 |   120.4 |        0 |    7.2 |     6.3
   44 | 2026-03-01 22:13:32 |   c2 |    1.1 |   35.4 |   116.6 |   298728 |    7.0 |     7.4
   44 | 2026-03-01 22:13:33 |   c3 |    1.0 |   54.3 |   171.3 |   949941 |    6.6 |    18.3
   45 | 2026-03-01 22:13:35 |   c1 |    3.0 |   46.5 |   122.0 |   436034 |    7.1 |    80.5
   45 | 2026-03-01 22:13:36 |   c2 |    3.2 |   35.9 |   118.3 |   430961 |    7.0 |    12.1
   45 | 2026-03-01 22:13:37 |   c3 |    0.8 |   54.7 |   172.5 |   311319 |    6.5 |    22.0
   46 | 2026-03-01 22:13:39 |   c1 |    0.0 |   47.0 |   123.3 |   321104 |    7.0 |    66.6
   46 | 2026-03-01 22:13:40 |   c2 |    1.2 |   36.5 |   120.2 |   490038 |    6.9 |    38.6
   46 | 2026-03-01 22:13:41 |   c3 |    2.1 |   55.4 |   174.7 |   532680 |    6.4 |    24.6
   47 | 2026-03-01 22:13:43 |   c1 |    3.2 |   47.1 |   123.7 |    84291 |    6.9 |     7.3
   47 | 2026-03-01 22:13:44 |   c2 |    2.1 |   36.5 |   120.5 |    70078 |    6.8 |    32.0
   47 | 2026-03-01 22:13:45 |   c3 |    2.1 |   55.4 |   174.7 |        0 |    6.3 |    14.0
