
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   29 | 2026-03-02 23:14:16 |   c1 |    9.8 |    0.0 |       - |        0 |    0.0 |     0.0
   29 | 2026-03-02 23:14:16 |   c2 |   21.1 |   62.9 |   363.3 |        0 |    1.9 |     3.5
   29 | 2026-03-02 23:14:16 |   c3 |   38.1 |   46.7 |   298.7 |   587147 |    1.9 |     2.9
   30 | 2026-03-02 23:14:17 |   c1 |   11.2 |    0.0 |       - |        0 |    0.0 |     0.0
   30 | 2026-03-02 23:14:17 |   c2 |   22.2 |   62.9 |   363.3 |        0 |    1.9 |    11.4
   30 | 2026-03-02 23:14:17 |   c3 |   42.9 |   46.7 |   298.7 |        0 |    1.9 |     2.7
   31 | 2026-03-02 23:14:18 |   c1 |   10.9 |    0.0 |       - |        0 |    0.0 |     0.0
   31 | 2026-03-02 23:14:18 |   c2 |   22.2 |   62.9 |   363.3 |        0 |    1.9 |     6.8
   31 | 2026-03-02 23:14:18 |   c3 |   41.7 |   46.7 |   298.7 |        0 |    1.9 |     2.8
   32 | 2026-03-02 23:14:19 |   c1 |    9.5 |    0.0 |       - |        0 |    0.0 |     0.0
   32 | 2026-03-02 23:14:19 |   c2 |   20.0 |   63.0 |   363.8 |   476957 |    1.9 |     3.0
   32 | 2026-03-02 23:14:19 |   c3 |   39.5 |   46.7 |   298.7 |        0 |    1.9 |     2.8
   33 | 2026-03-02 23:14:20 |   c1 |   32.0 |    0.0 |       - |        0 |    0.0 |     0.0
   33 | 2026-03-02 23:14:20 |   c2 |   52.4 |   63.1 |   364.2 |   474977 |    1.9 |     3.3
   33 | 2026-03-02 23:14:20 |   c3 |   73.2 |   46.7 |   298.7 |        0 |    1.9 |     2.8
   34 | 2026-03-02 23:14:20 |   c1 |   70.0 |   17.5 |    35.6 | 38165235 |  165.0 |   178.4
   34 | 2026-03-02 23:14:21 |   c2 |   83.3 |   63.2 |   365.0 |   661114 |    1.9 |     2.7
   34 | 2026-03-02 23:14:21 |   c3 |   82.5 |   46.7 |   298.7 |        0 |    1.9 |     2.9
   35 | 2026-03-02 23:14:22 |   c1 |   75.6 |   38.3 |   102.2 | 45787995 |  180.0 |    29.9
   35 | 2026-03-02 23:14:22 |   c2 |   67.5 |   63.4 |   366.1 |   871061 |    1.9 |     2.8
   35 | 2026-03-02 23:14:22 |   c3 |   37.8 |   46.7 |   299.2 |   430028 |    1.9 |     2.6
   36 | 2026-03-02 23:14:23 |   c1 |    9.6 |   40.8 |   108.8 |  6669928 |  137.0 |    13.7
   36 | 2026-03-02 23:14:23 |   c2 |   47.9 |   63.4 |   366.1 |        0 |    1.9 |     2.4
   36 | 2026-03-02 23:14:23 |   c3 |   37.1 |   46.8 |   299.7 |   535744 |    1.9 |     2.7
   37 | 2026-03-02 23:14:24 |   c1 |   13.2 |   41.4 |   110.5 |  1807280 |  111.0 |     7.6
   37 | 2026-03-02 23:14:24 |   c2 |   44.9 |   63.4 |   366.1 |        0 |    1.9 |     3.2
   37 | 2026-03-02 23:14:24 |   c3 |   40.5 |   46.8 |   299.7 |        0 |    1.9 |     2.8
   38 | 2026-03-02 23:14:25 |   c1 |    9.7 |   41.7 |   111.2 |   676546 |   93.1 |     7.8
   38 | 2026-03-02 23:14:25 |   c2 |   40.8 |   63.4 |   366.1 |        0 |    1.9 |     4.5
   38 | 2026-03-02 23:14:25 |   c3 |   47.4 |   46.8 |   299.7 |        0 |    1.9 |     2.6
